favourites_count,friendList,friendsCount,hashtags,imageurl,lang,retweetCount,retweeted,tweetCreatedAt,tweetId,tweetText,userCreatedAt,userDescription,userFollowersCount,userID,userLocation,userName
11851,None,1044,['Juul'],http://pbs.twimg.com/profile_images/959106942768689153/H8eXRN7v_normal.jpg,en,1,False,2018-10-02 19:04:29,1047200664328265729,The FDA raided #Juul for marketing to kids and this is one of the ads. Tough call hmm https://t.co/5arNl9WPc4,2009-02-22 18:00:32,heiress. billionaire. billionairess. Newsletter Writer/Podcaster/Jane Duh @betches_sup @betchesluvthis,2704,21582877,New York,Alise Morales
285,None,719,['Juul'],http://pbs.twimg.com/profile_images/730733843469205504/456_4Vaq_normal.jpg,en,18,False,2018-10-02 18:30:10,1047192030827429888,"BREAKING: In a surprise raid, the @US_FDA seized hundreds of documents at the #Juul HQ to investigate the company's marketing tactics. On today's episode of my show, @drsanjaygupta and I discuss this epidemic and what you need to know to protect your kids. https://t.co/dg3Y8clgRg",2009-05-09 11:27:19,"SVP for @ewg, views are mine",908,38838127,DC,Scott Faber
14571,None,157,['JUUL'],http://pbs.twimg.com/profile_images/1021390302580486144/58jZCv_X_normal.jpg,en,2,False,2018-10-03 04:16:11,1047339505810923520,"If they ban the #JUUL on college campuses then people will just be smoking cigarettes again, and idk about y'all but I'd rather get a puff of mango in my face than a cloud of Marlboro Red 🤷",2017-02-08 20:28:44,AU ➡️KSU | Lifeguard | Skyline Chili Manager 🍝 |  ΤΚΕ π-α/ι-π | 7-24-17 ❤️💍,90,829426760915763205,"Kent, OH",Joshua 🐧
668,None,371,"['SwitchToJUUL', 'JUUL']",http://pbs.twimg.com/profile_images/590395947990929408/UwjBNF2R_normal.jpg,en,1,False,2018-10-01 21:05:25,1046868713813696517,We asked Nora why she made the #SwitchToJUUL and this is what she shared with us. View more testimonials from #JUUL customers at https://t.co/bzgcuzwuIv  and share your story with us. https://t.co/vOiZ24EXek,2014-12-03 23:28:22,"At JUUL, our mission is to improve the lives of the world’s one billion adult smokers. +21+ DM for Twitter Customer Service 8am-5:30pm PT M-F. #SwitchToJUUL",19706,2918018660,San Francisco,JUUL
4,None,915,"['vaping', 'juul']",http://pbs.twimg.com/profile_images/581147772285509633/AP8TSrmx_normal.png,en,2,False,2018-10-02 22:37:35,1047254295329087489,FDA Held Surprise Inspection of Juul’s Headquarters  Many documents seized.  #vaping #juul  https://t.co/mgQH30AW6g,2015-03-26 17:32:16,We Tweet & RT the best brands and people amongst the #VapeCommunity - Include #CloudChasing for a RT every time! Remember guys #VapeON,3330,3119313208,UK,@CloudChasingUK
1842,None,118,"['juul', 'funny', 'buzzfeed']",http://pbs.twimg.com/profile_images/751967354918141952/-G4vvikl_normal.jpg,en,1,False,2018-10-02 00:17:16,1046916994006700032,Please view this funny post for my marketing class! https://t.co/xMeShJ89ts.   #juul #funny #buzzfeed,2009-08-04 06:49:13,Wavy 🌊,152,62741556,In the Lab,K J
11,None,259,"['FDA', 'Juul']",http://pbs.twimg.com/profile_images/917886684649357312/aivZ5Pfc_normal.jpg,en,0,False,2018-10-02 18:36:42,1047193675434999808,"(TechCrunch) #FDA seizes thousands of documents from e-cig startup #Juul : E-cigarette maker Juul recently received a surprise visit from the Food and Drug Administration, CNBC first reported. Last week, the FDA seized thousands .. https://t.co/R2Jhff6aiJ https://t.co/ISIBMPeGxC",2015-11-26 21:38:57,"https://t.co/M3K6zKhn8Y is a news aggregator, it gathers news from different sources, and continuously monitor breaking news from multiple news websites.",1069,4289485636,,StoriesFlow.com
1,None,412,"['juul', 'vapor', 'ejuice', 'kratom', 'shisha', 'hookah', 'backwoods', 'tobaccopipe', 'cigarette', 'cigar', 'hypnoticsmokeshop', 'hypnoticheadshop']",http://pbs.twimg.com/profile_images/974878238097969153/3k4vCB3L_normal.jpg,en,0,False,2018-10-02 17:25:25,1047175734966534144,SMOK E-PRIC KIT  in stock @hypnoticsmokes1  #juul #vapor #ejuice #kratom #shisha #hookah #backwoods #tobaccopipe #cigarette #cigar #hypnoticsmokeshop #hypnoticheadshop 🔥🔥🔥BEST PRICES IN… https://t.co/611afe8pMm,2018-03-17 05:19:24,Vapors/ e-juice/ cigerattes/ hookahs/ tobacco water pipes/ cigars. your one stop for all your smoking needs. best prices in the town.,16,974877843032346626,"629 broadway st,cape girardeau",hypnotic smokeshop
8844,None,100,"['free', 'favorite', 'cbd', 'hemp', 'vape', 'juul']",http://pbs.twimg.com/profile_images/1018591819385356288/IzFq0gyy_normal.jpg,en,2,False,2018-10-03 01:44:30,1047301332783300608,"For a limited time only buy 1 get 1 #free on our new customer #favorite Zilla Pods! These #cbd #hemp Pre-Filled #vape pods are compatible with the #juul and come in three delicious flavors, Natural Hemp, Berry Wild Gelato, and Strawberry Creme Gelato! https://t.co/tEtA1opyX5 https://t.co/r3ZYUTsAUr",2017-10-27 01:11:29,"Just a Texas girl living in a North Carolina world, dealing with #PCOS #Anxiety and #Infertility while hoping to raise the money for #IVF",303,923718761718386693,"Asheville, NC",Southern Spoonie
493,None,34,"['vapebreak', 'vapelyfe', 'hitthischief', 'juul', 'vape']",http://pbs.twimg.com/profile_images/1045184839953993730/pPxTsr4e_normal.jpg,en,0,False,2018-10-02 17:49:51,1047181885502181376,Took this photo of the night sky with my Nikon D5300.  Accidentally blew my vape in front of the lens during the exposure. The blue light on my nest reflected off the cloud and caused the purple effect in the shot.   #vapebreak #vapelyfe #hitthischief #juul #vape @h3h3productions https://t.co/yXGXheoAI2,2018-08-31 01:50:45,Devout follower of Bootsy’s basic funk formula.,16,1035344105486737408,I migrate. ,Bird is the Word
