userID,country,state,region
295873487,United States,District of Columbia,District of Columbia
56254987,South Korea,Seoul,
577855197,United States,Texas,Lubbock County
602169288,United States,California,San Diego County
117634135,United States,California,Los Angeles County
34708125,United States,Massachusetts,Suffolk County
1255701000,United States,,
1326349141,Canada,British Columbia,Greater Vancouver
195505180,United States,Missouri,
1596490327,,,We Support NOTBlowingSmoke.org
2174482445,United States,Maine,Cumberland County
2401958682,United States,Texas,Brazos County
14662354,United States,District of Columbia,District of Columbia
156354387,India,,
18928297,United States,Illinois,Cook County
269926686,Italy,Lombardy,Metropolitan City of Milan
324489515,United States,California,
83774218,United States,Wisconsin,La Crosse County
303602886,United States,Florida,Seminole County
111412750,United States,,
252794509,Canada,Quebec,Montreal
44212339,New Zealand,Auckland,
281120523,United States,New York,
2251289642,United States,Pennsylvania,Philadelphia County
748204478,Tunisia,,
331244103,United States,Colorado,
44673274,United States,California,San Francisco County
53729265,United States,North Carolina,Forsyth County
2197473677,United States,New York,
2195284032,United States,Ohio,Franklin County
2287044571,United States,New Jersey,Ocean County
48262500,United States,,North America
55655935,United States,Illinois,Cook County
334944709,United States,New York,
217612422,United States,California,San Francisco County
280652901,United States,Florida,Palm Beach County
718561296,United States,Michigan,Washtenaw County
1596764294,United States,Minnesota,Ramsey County
376288940,United States,Illinois,Cook County
17454993,United States,California,
171647353,United States,California,San Diego County
397748308,United States,California,San Francisco County
2259398251,Canada,British Columbia,Greater Vancouver
2496120775,Norway,Nordland,Leirfjord Municipality
1445119592,Australia,New South Wales,
66549216,United States,,
1584493466,United States,Michigan,Wayne County
1471577983,Spain,Community of Madrid,Madrid
85413569,United States,Illinois,
36810829,United States,Georgia,Fulton County
2695761656,United Kingdom,England,Greater London
279486281,Sweden,Stockholm County,
17068564,United States,Virginia,Arlington County
445774416,United States,Texas,Denton County
33968088,United States,,
2290292576,United States,Colorado,Arapahoe County
18353701,United States,California,Los Angeles County
350398396,United States,North Carolina,Orange County
2435597222,United States,Massachusetts,Bristol County
1211059848,United States,Pennsylvania,Philadelphia County
25611187,United States,Florida,Palm Beach County
637233762,United States,Florida,Seminole County
85049428,Kenya,Mombasa County,
632086636,United States,Texas,Washington County
1327013600,United States,Illinois,Cook County
186539122,United States,North Carolina,Mecklenburg County
1215791515,United States,California,Orange County
582319801,United States,Texas,Tarrant County
13143662,,,Jenniferanistan
726103488,Canada,Ontario,Toronto Division
2524051309,Kenya,,
20684654,United States,New York,Kings County
21423259,United States,Wisconsin,
33201193,United States,Texas,Tarrant County
59232448,United States,Illinois,
305096557,United Kingdom,Scotland,Edinburgh
2845126851,Ireland,County Limerick,
2505971881,United States,Missouri,
358828227,United States,Kansas,Leavenworth County
15108561,United States,California,Sacramento County
2287554558,United States,Missouri,
2910321650,,,Unpaid Vaper and Advocate
109702657,United States,New Hampshire,
18062211,United States,New York,
38691916,United States,District of Columbia,District of Columbia
1408505041,United States,Ohio,Franklin County
88387950,Australia,New South Wales,
156666863,,,ORD BOS LHR SFO 
90926321,United States,Georgia,
153488664,United States,District of Columbia,District of Columbia
103695551,United States,Illinois,Cook County
2567782003,United States,Ohio,
275681557,United States,New York,
531315301,United States,Virginia,Chesterfield County
466620680,Spain,Canary Islands,Santa Cruz de Tenerife
22545453,United States,California,Los Angeles County
1934729616,United States,Ohio,Cuyahoga County
32977262,United States,Texas,Denton County
17221422,United States,Virginia,
2516046368,United States,Texas,El Paso County
574720566,United States,,
2155744735,United States,Colorado,Denver County
